analysis_id,4mplp94480p9jz7
mouse_strain,C57BL
gene_accession_id,MGI:2442221
mouse_life_stage,E18.5
pvalue,0.2032563
parameter_name,12kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_006_001
gene_symbol,Zfp652
