parameter_name,Body length
gene_accession_id,MGI:1315201
parameter_id,IMPC_DXA_006_001
analysis_id,093h87vtcruw77z
mouse_life_stage,Early adult
gene_symbol,Grcc10
mouse_strain,C57BL
pvalue,0.1527806
