gene_symbol,Mindy2
parameter_id,IMPC_HEM_030_001
parameter_name,Neutrophil cell count
mouse_life_stage,Late adult
analysis_id,agwm51a9d6sd75b
mouse_strain,C57BL
pvalue,0.4554856
gene_accession_id,MGI:2443086
