parameter_id,CCP_LFO_001_001
mouse_life_stage,Early adult
gene_symbol,Grcc10
pvalue,0.9869506
mouse_strain,C57BL
analysis_id,8oh1f6369542mse
gene_accession_id,MGI:1315201
parameter_name,Weight
