pvalue,0.0603257
gene_symbol,Angptl8
parameter_name,Startle response
analysis_id,2j32bx4vn1a8o2a
mouse_strain,C57BL
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3643534
