parameter_name,Fructosamine
analysis_id,s57192b1958gu6i
mouse_strain,C57BL
gene_symbol,Rxylt1
gene_accession_id,MGI:2384919
mouse_life_stage,E9.5
pvalue,0.9731049
parameter_id,IMPC_CBC_020_001
