pvalue,0.8876475
parameter_id,IMPC_CSD_010_001
mouse_life_stage,Early adult
analysis_id,7r4zo2e4vie259z
gene_symbol,Dnaaf3
gene_accession_id,MGI:3588207
mouse_strain,C57BL
parameter_name,Coat - color pattern - abdomen
