mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_068_001
analysis_id,2hxr2n994w11tt4
pvalue,0.1185027
parameter_name,Left total retinal thickness
gene_accession_id,MGI:1916340
gene_symbol,Ascc1
