mouse_life_stage,E12.5
parameter_id,IMPC_EYE_070_001
parameter_name,Left outer nuclear layer
analysis_id,ena94j69yd93e53
gene_accession_id,MGI:1859866
gene_symbol,Cdc20
pvalue,0.3463802
mouse_strain,C57BL
