parameter_name,Distance travelled - total
analysis_id,688n633evvg2jci
gene_symbol,Ccdc110
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_020_001
gene_accession_id,MGI:2685018
pvalue,0.1380285
