analysis_id,11qmfhzjn6nk025
mouse_strain,C57BL
gene_symbol,1700067K01Rik
parameter_id,MGP_CSD_008_001
parameter_name,Startle response
gene_accession_id,MGI:1920703
mouse_life_stage,Early adult
pvalue,0.1958588
