parameter_id,impc_eye_069_001
gene_symbol,Vcpkmt
pvalue,0.8280065
gene_accession_id,MGI:2684917
parameter_name,Left inner nuclear layer
analysis_id,ovq7kc5w49dhi2t
mouse_life_stage,Early adult
mouse_strain,C57BL
