mouse_life_stage,Early adult
gene_accession_id,MGI:2684866
pvalue,0.771098
parameter_id,GMC_906_001_004
mouse_strain,C57BL
analysis_id,96618m8k17j9wd2
gene_symbol,Slfn14
parameter_name,Sodium
