gene_symbol,Ndufc2
parameter_id,GMC_906_001_005
gene_accession_id,MGI:1344370
mouse_strain,C57BL
parameter_name,Potassium
analysis_id,29zz78p6955h918
mouse_life_stage,Early adult
pvalue,0.5027548
