mouse_life_stage,Early adult
pvalue,0.08368981
gene_symbol,Cdc20
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,JAXLA_DXA_004_001
analysis_id,8j3mp0o26wvqy89
gene_accession_id,MGI:1859866
