mouse_strain,C57BL
gene_symbol,Mlx
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:108398
parameter_name,Area under glucose response curve
parameter_id,IMPC_IPG_012_001
analysis_id,9qn0g8tn407q57t
pvalue,0.8164015
