gene_accession_id,MGI:1315201
gene_symbol,Grcc10
mouse_strain,C57BL
mouse_life_stage,e18.5
parameter_id,JAXLA_CSD_004_001
pvalue,0.9704576
parameter_name,Tail - morphology
analysis_id,5ju84s68qvc4562
