mouse_life_stage,Early adult
pvalue,0.7571508
gene_symbol,Fam210b
parameter_id,CCP_LDT_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1914267
parameter_name,Side changes
analysis_id,eh20bc0w448orks
