gene_symbol,2310057J18Rik
pvalue,0.6481154
mouse_strain,C57BL
analysis_id,c678qj5d0288a5p
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:1914969
mouse_life_stage,Early adult
