mouse_strain,C57BL
analysis_id,8699h24z7kuk400
gene_accession_id,MGI:1859866
mouse_life_stage,E9.5
gene_symbol,Cdc20
pvalue,0.44056
parameter_id,IMPC_OFD_007_001
parameter_name,Whole arena resting time
