mouse_strain,C57BL
parameter_name,Left inner nuclear layer
gene_symbol,Kcnc3
analysis_id,1x0903m0cltkgmp
gene_accession_id,MGI:96669
parameter_id,IMPC_EYE_069_001
pvalue,0.2420647
mouse_life_stage,Early adult
