parameter_name,Number of caudal vertebrae
pvalue,0.1551306
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Ogfod1
analysis_id,yj0p6e236307ej6
parameter_id,IMPC_XRY_017_001
gene_accession_id,MGI:2442978
