gene_accession_id,MGI:2684789
gene_symbol,Lrsam1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_006_001
pvalue,0.2122205
parameter_name,12kHz-evoked ABR Threshold
analysis_id,1c60d2s79yt6306
