parameter_id,IMPC_INS_001_001
pvalue,0.5134271
gene_accession_id,MGI:1859866
gene_symbol,Cdc20
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Insulin
analysis_id,x73g6mu03q40n18
