mouse_strain,C57BL
gene_symbol,Slco2b1
parameter_name,Periphery distance travelled
parameter_id,JAX_OFD_010_001
mouse_life_stage,Early adult
pvalue,0.2119198
analysis_id,08p0343xj4s9jiu
gene_accession_id,MGI:1351872
