mouse_life_stage,E9.5
gene_symbol,Vezt
parameter_name,Coat - color - back
analysis_id,vzy9c31q6691a88
gene_accession_id,MGI:2143698
mouse_strain,C57BL
pvalue,0.6722226
parameter_id,IMPC_CSD_005_001
