parameter_id,IMPC_HEM_035_001
parameter_name,Eosinophil differential count
gene_symbol,Slco2b1
pvalue,0.2823112
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1351872
analysis_id,d1ux87c06v1uc0o
