gene_accession_id,MGI:892866
gene_symbol,Dgcr2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_012_001
pvalue,0.4302484
parameter_name,Coat - hair distribution - head
analysis_id,2vy9n0hb2g91i24
