mouse_life_stage,Early adult
gene_symbol,Ctnnbip1
mouse_strain,C57BL
parameter_id,IMPC_EYE_064_001
gene_accession_id,MGI:1915756
pvalue,0.9845558
parameter_name,Right outer nuclear layer
analysis_id,s27gc5zuv3i302t
