mouse_strain,C57BL
parameter_name,Neutrophil cell count
gene_accession_id,MGI:88357
pvalue,0.6896934
analysis_id,76q7s4nqhv95nks
gene_symbol,Cdk4
parameter_id,IMPC_HEM_030_001
mouse_life_stage,E15.5
