gene_accession_id,MGI:1328358
gene_symbol,Myom2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
pvalue,0.7701852
parameter_name,HDL-cholesterol
analysis_id,73bq46t4qz7co77
