mouse_strain,C57BL
analysis_id,y3280q7s6g7pw4v
pvalue,0.4898353
parameter_name,HDL-cholesterol
parameter_id,IMPC_CBC_016_001
gene_symbol,Kcnc3
mouse_life_stage,Early adult
gene_accession_id,MGI:96669
