mouse_life_stage,Early adult
pvalue,1.265258
gene_symbol,Angel1
parameter_name,Total food intake
gene_accession_id,MGI:1915987
mouse_strain,C57BL
analysis_id,psdq615xsj1qxje
parameter_id,IMPC_CAL_008_001
