gene_accession_id,MGI:1931415
gene_symbol,Mynn
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_012_001
pvalue,0.2465848
parameter_name,Area under glucose response curve
analysis_id,4dh44229lz12572
