gene_symbol,Slfn14
analysis_id,5f61198t298mhp7
parameter_name,Contact righting
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2684866
parameter_id,JAXLA_CSD_077_001
pvalue,0.5834873
