pvalue,0.6285495
mouse_strain,C57BL
gene_accession_id,MGI:2137624
analysis_id,w99j17mbh18p156
parameter_name,Retina (combined)
gene_symbol,Pom121
parameter_id,impc_eye_092_002
mouse_life_stage,Early adult
