gene_accession_id,MGI:2137624
gene_symbol,Pom121
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,JAXLA_DXA_005_001
pvalue,0.3821315
parameter_name,Bone Mineral Content (excluding skull)
analysis_id,6117e2h4r417rrd
