analysis_id,104hli2pr19mqyh
mouse_life_stage,Early adult
pvalue,0.838989
mouse_strain,C57BL
parameter_name,microAlbumin (calculated)
gene_accession_id,MGI:1351872
gene_symbol,Slco2b1
parameter_id,JAX_URI_001_001
