mouse_life_stage,Early adult
parameter_name,Mean platelets volume
mouse_strain,C57BL
parameter_id,GMC_905_001_010
pvalue,0.4383277
gene_symbol,Spmap2l
gene_accession_id,MGI:1919118
analysis_id,1c41qs0c207x4r1
