gene_accession_id,MGI:2180565
gene_symbol,Pnma3
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,eslim_015_001_002
pvalue,0.4541003
parameter_name,Urea
analysis_id,04efexi0iy5sp98
