mouse_strain,C3H
mouse_life_stage,Early adult
gene_accession_id,MGI:104659
analysis_id,irc1i951g8c3g58
gene_symbol,Dll1
parameter_name,Body wall morphology
pvalue,0.2864822
parameter_id,IMPC_GEP_024_001
