gene_symbol,Crybb1
pvalue,0.6342169
parameter_id,UCDLA_CBC_015_001
mouse_strain,C50BL
analysis_id,12v3d2cvl3xrii0
gene_accession_id,MGI:104992
parameter_name,Total cholesterol
mouse_life_stage,Early adult
