analysis_id,4jx8sy0f1lqd933
parameter_id,IMPC_CBC_016_001
gene_symbol,Ogfod1
gene_accession_id,MGI:2442978
pvalue,0.07898176
mouse_life_stage,Early adult
parameter_name,HDL-cholesterol
mouse_strain,C57BL
