mouse_life_stage,Early adult
parameter_id,GMC_906_001_017
gene_symbol,1700067K01Rik
analysis_id,r2sc0m39p4tb519
pvalue,0.8434074
parameter_name,Total cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:1920703
