mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Vocalization
pvalue,0.2010034
gene_symbol,Saysd1
analysis_id,63p1f26qg6h45o6
parameter_id,IMPC_CSD_078_001
gene_accession_id,mgi:1914759
