mouse_life_stage,E9.5
analysis_id,i4sq1xd0030341d
parameter_name,Absolute number of lymphocytes
mouse_strain,C57BL
gene_accession_id,MGI:2137624
gene_symbol,Pom121
pvalue,0.2547849
parameter_id,GMC_905_001_011
