parameter_id,CCP_XRY_033_001
gene_symbol,Pax7
analysis_id,mmguuey18kn8ad3
pvalue,0.8589791
mouse_strain,C57BL
gene_accession_id,MGI:97491
mouse_life_stage,E15.5
parameter_name,Tibia length
