mouse_life_stage,E12.5
gene_symbol,Rxylt1
pvalue,0.5593667
mouse_strain,C57BL
analysis_id,c67re44013o3369
parameter_name,Fasted blood glucose concentration
gene_accession_id,MGI:2384919
parameter_id,JAXLA_IPG_010_001
