pvalue,0.6094283
mouse_strain,C57BL
gene_symbol,Ascc1
parameter_id,IMPC_CBC_028_001
parameter_name,Creatine kinase
mouse_life_stage,E18.5
gene_accession_id,MGI:1916340
analysis_id,67q4z29n9wqtks5
