mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.1045161
gene_symbol,Rxylt1
parameter_name,Fusion of vertebrae
analysis_id,r03cp748o147nqw
gene_accession_id,MGI:2384919
parameter_id,IMPC_XRY_019_001
