analysis_id,a321r23hr681uod
gene_symbol,Ascc1
mouse_life_stage,E18.5
parameter_name,Total cholesterol
pvalue,0.9310993
parameter_id,UCDLA_CBC_015_001
gene_accession_id,MGI:1916340
mouse_strain,C57BL
