parameter_name,Lymphocyte differential count
pvalue,1.283424
mouse_strain,C57BL
parameter_id,IMPC_HEM_031_001
gene_accession_id,MGI:3643383
analysis_id,65643cfp7201v5g
gene_symbol,Calhm1
mouse_life_stage,Early adult
