pvalue,0.8905745
parameter_name,Right outer nuclear layer
mouse_strain,C57BL
analysis_id,5ezukf3569wsvcn
gene_symbol,Saxo1
parameter_id,IMPC_EYE_064_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1923061
