mouse_life_stage,Early adult
analysis_id,3nn164f721l1oc5
parameter_id,CCP_XRY_033_001
pvalue,0.4346824
mouse_strain,129SV
gene_accession_id,MGI:1918830
parameter_name,Tibia length
gene_symbol,Mtrf1l
