parameter_name,Side changes
parameter_id,JAXLA_LDT_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.09781797
gene_accession_id,MGI:2654703
analysis_id,52701hcfvuc52q4
gene_symbol,Otud7b
