mouse_life_stage,Early adult
analysis_id,0bst18lgdn1nd1f
parameter_id,JAXLA_GRS_011_001
mouse_strain,C57BL
gene_accession_id,MGI:95321
gene_symbol,Emb
pvalue,0.2131602
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
