parameter_name,B-Wave 12500 Cd/mÂ² right eye
parameter_id,GMC_912_001_008
pvalue,0.9336002
mouse_life_stage,Early adult
analysis_id,kb750nbkne47x00
gene_accession_id,MGI:2143698
gene_symbol,Vezt
mouse_strain,C57BL
