gene_symbol,Btbd2
gene_accession_id,MGI:1933831
analysis_id,148vzr99ol93649
mouse_life_stage,Early adult
pvalue,0.5230401
parameter_id,IMPC_HEM_030_001
mouse_strain,C57BL
parameter_name,Neutrophil cell count
