parameter_id,JAXLA_CSD_004_001
mouse_strain,C57BL
gene_symbol,Pgap6
mouse_life_stage,Early adult
gene_accession_id,MGI:1926283
parameter_name,Tail - morphology
pvalue,0.07897611
analysis_id,ao81z139pn270a1
