gene_symbol,1700067K01Rik
gene_accession_id,MGI:1920703
mouse_strain,C57BL
analysis_id,177488ij4uv2oe8
pvalue,0.9372727
parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_006_001
