mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,Distance travelled - total
parameter_id,IMPC_OFD_020_001
pvalue,0.7426492
gene_symbol,Rxylt1
analysis_id,kl2p9pi89siv3dd
gene_accession_id,MGI:2384919
