gene_accession_id,MGI:2384974
gene_symbol,Flvcr2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_010_001
pvalue,0.2583165
parameter_name,Fasted blood glucose concentration
analysis_id,ddp7rt67zq15n2l
