mouse_life_stage,E18.5
parameter_id,IMPC_CSD_078_001
analysis_id,k2ekmamkjunhy77
mouse_strain,C57BL
gene_accession_id,MGI:1926283
pvalue,0.1425762
parameter_name,Vocalization
gene_symbol,Pgap6
