pvalue,0.473821
parameter_id,IMPC_GRS_011_001
mouse_life_stage,Early adult
gene_symbol,Dll1
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,8f6i4a5gda6y2mb
gene_accession_id,MGI:104659
mouse_strain,C3H
